1,Одноклеточные,,,,,,,,Растения,,,,,,,,Грибы,,,,,,,,Членистоногие,,,,,,,,Моллюски,,,,,,,,Черви,,,,,,,,Рыбы,,,,,,,,Рептилии,,,,,,,,Птицы,,,,,,,,Млекопитающие,,,,,,,
Индекс планеты,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь
QW0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SG8,0 0 -2 -6 0 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 -3 -7 0 0 0,0 0 -4 -8 0 0 -1,144,0 -5 0 -6 0 0 1,0 0 0 -6 3 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -7 2 0 0,0 0 0 -8 -1 0 1,210,0 -5 -2 0 3 0 0,0 0 0 -6 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -7 2 -3 0,0 0 0 -8 0 -3 0,240,2 0 0 0 3 -2 0,-,-,-,-,-,-,-,-,2 -5 0 -6 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -3 0 -7 2 -3 2,4 -4 0 -7 5 -3 0,210,0 -5 -2 0 3 0 0,-,-,-,-,-,-,-,-,2 0 -2 -6 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,3 0 -3 -7 4 -4 0,0 0 -3 -4 2 -1 2,270,2 0 0 0 3 -2 0,2 -5 -2 0 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -4 -1 0 4 -1 0,3 -6 -3 0 2 -3 2,264,0 -5 -2 0 3 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TA2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -4 1 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -5 0 -1 1,0 0 0 -6 -2 -1 1,160,3 0 0 0 1 0 0,-,-,-,-,-,-,-,-,3 -4 0 -4 1 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 -2 0 -5 0 -1 3,5 -3 0 -5 3 -1 1,140,0 -4 -3 0 1 0 0,-,-,-,-,-,-,-,-,3 0 -3 -4 1 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 0 -4 -5 2 -2 1,1 0 -4 -2 0 1 3,180,3 0 0 0 1 0 0,3 -4 -3 0 1 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -3 -2 0 2 1 1,4 -5 -4 0 0 -1 3,176,0 -4 -3 0 1 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AM8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ER6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 -3 0 3 0 4 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -1 0 2 -1 3 1,3 -2 0 2 2 3 -1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 -3 -2 3 0 4 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -4 -1 5 -1 5 0,3 -1 -3 4 2 3 0,-,-,1 -3 -2 3 0 4 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -2 -1 4 -1 3 1,-1 -5 -4 4 1 2 -2,-,-
EW0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OW0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZO9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BS3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -1 -4 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -2 -5 -3 0,0 0 0 -3 -7 -3 0,200,4 0 0 0 -4 -2 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4 3 -4 0 -4 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 4 -3 0 -3 -1 0,5 2 -5 0 -5 -3 2,220,0 3 -4 0 -4 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FA1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7 2 1 0 0 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 1 -2 0 0 0 -2,0 0 0 -2 -3 -1 -1,264,0 2 0 3 0 0 -3,7 2 0 3 -9 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 4 0 2 -10 -1 -2,9 3 0 2 -7 -1 -4,280,0 2 1 0 -9 0 0,-,-,-,-,-,-,-,-,7 0 1 3 -9 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,8 0 0 2 -8 -2 -4,5 0 0 5 -10 1 -2,360,7 0 0 0 -9 0 0,-,-,-,-,-,-,-,-,7 2 1 3 -9 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 1 2 5 -10 1 0,9 4 0 4 -7 -1 0,376,0 2 0 3 0 0 -3,-,-,-,-,-,-,-,-
HR9,0 0 1 -1 0 0 -4,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -2 0 0 -5,0 0 -1 -3 0 0 -6,96,0 -1 0 -1 0 0 -4,0 0 0 -1 -4 0 -4,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -2 -5 0 -5,0 0 0 -3 -8 0 -4,140,0 -1 1 0 -4 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 0 0 0 0 0 -4,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 -3,2 0 0 0 0 0 -5,152,1 0 0 0 -4 -5 0,-,-,-,-,-,-,-,-,1 -1 1 0 -4 -5 -4,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 0 2 0 -3 -4 -5,2 -2 0 0 -5 -6 -3,176,0 -1 1 0 -4 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YL3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZZ8,0 0 -1 -5 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 -2 -6 0 0 -1,0 0 -3 -7 0 0 -2,-,-,0 0 0 -5 3 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -6 2 0 -1,0 0 0 -7 -1 0 0,-,-,0 0 0 -5 3 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -6 2 -3 -1,0 0 0 -7 0 -3 -1,-,-,0 -4 -1 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -5 -4 0 0 0 1,0 0 0 -2 -3 -1 -1,-,-,0 -4 0 -5 3 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -2 0 -6 2 -3 1,2 -3 0 -6 5 -3 -1,-,-,-,-,-,-,-,-,-,-,0 0 -1 -5 3 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 0 -2 -6 4 -4 -1,-2 0 -2 -3 2 -1 1,-,-,0 -4 -1 0 3 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-2 -3 0 0 4 -1 -1,1 -5 -2 0 2 -3 1,-,-,0 -4 -1 -5 3 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -5 0 -3 2 -1 0,2 -2 -2 -4 5 -3 0,-,-,-,-,-,-,-,-,-,-
FZ4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -3 -2 -2 -5,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -3 -3 -6,0 0 0 -5 -5 -3 -6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SB6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VX4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -3 -2 -6 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -3 -7 1,0 0 0 -5 -5 -7 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XP4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZK0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DW1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KZ7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TW0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YR1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GZ8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HE6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JX2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -2 -2 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 -3 -1 1,0 0 0 -4 -5 -1 1,200,2 0 0 0 -2 0 0,2 -4 -5 0 0 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -5 -8 0 0 0 3,0 0 0 -2 -3 -1 -1,165,0 -4 0 -2 0 0 2,2 -4 0 -2 -2 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -2 0 -3 -3 -1 3,4 -3 0 -3 0 -1 1,175,0 -4 -5 0 -2 0 0,-,-,-,-,-,-,-,-,2 0 -5 -2 -2 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,3 0 -6 -3 -1 -2 1,0 0 -6 0 -3 1 3,225,2 0 0 0 -2 0 0,2 -4 -5 0 -2 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -3 -4 0 -1 1 1,3 -5 -6 0 -3 -1 3,220,0 -4 -5 0 -2 0 0,2 -4 -5 -2 -2 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -5 -4 0 -3 1 0,4 -2 -6 -1 0 -1 0,235,0 -4 0 -2 0 0 2,-,-,-,-,-,-,-,-
KW1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XP9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YG8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -1 -2 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -2 -3 -1 0,0 0 0 -3 -5 -1 0,200,1 0 0 0 -2 0 0,1 -3 -3 0 0 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -4 -6 0 0 0 2,0 0 0 -2 -3 -1 -1,165,0 -3 0 -1 0 0 1,1 -3 0 -1 -2 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -1 0 -2 -3 -1 2,3 -2 0 -2 0 -1 0,175,0 -3 -3 0 -2 0 0,-,-,-,-,-,-,-,-,1 0 -3 -1 -2 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 0 -4 -2 -1 -2 0,-1 0 -4 1 -3 1 2,225,1 0 0 0 -2 0 0,-,-,-,-,-,-,-,-,1 -3 -3 -1 -2 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -4 -2 1 -3 1 0,3 -1 -4 0 0 -1 0,235,0 -3 0 -1 0 0 1,-,-,-,-,-,-,-,-
AT4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
II8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JZ8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TZ1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DM5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DP4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LG0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -3 -4 -6 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -5 -7 -4,0 0 0 -5 -7 -7 -4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FP2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LU9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LD8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LY0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WN2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -1 -2 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -2 -3 -1 0,0 0 0 -3 -5 -1 0,160,1 0 0 0 -2 0 0,1 -3 -3 0 0 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -4 -6 0 0 0 2,0 0 0 -2 -3 -1 -1,132,0 -3 0 -1 0 0 1,1 -3 0 -1 -2 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -1 0 -2 -3 -1 2,3 -2 0 -2 0 -1 0,140,0 -3 -3 0 -2 0 0,-,-,-,-,-,-,-,-,1 0 -3 -1 -2 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 0 -4 -2 -1 -2 0,-1 0 -4 1 -3 1 2,180,1 0 0 0 -2 0 0,-,-,-,-,-,-,-,-,1 -3 -3 -1 -2 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -4 -2 1 -3 1 0,3 -1 -4 0 0 -1 0,188,0 -3 0 -1 0 0 1,-,-,-,-,-,-,-,-
YO1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GH5,0 0 2 -3 0 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 1 -4 0 0 -2,0 0 0 -5 0 0 -3,-,-,0 0 0 -3 -2 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -3 0 -2,0 0 0 -5 -6 0 -1,-,-,-,-,-,-,-,-,-,-,1 4 2 0 0 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 3 -1 0 0 0 0,0 0 0 -2 -3 -1 -1,-,-,1 4 0 -3 -2 -4 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 6 0 -4 -3 -5 0,3 5 0 -4 0 -5 -2,-,-,-,-,-,-,-,-,-,-,1 0 2 -3 -2 -4 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 0 1 -4 -1 -6 -2,-1 0 1 -1 -3 -3 0,-,-,1 4 2 0 -2 -4 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 5 3 0 -1 -3 -2,2 3 1 0 -3 -5 0,-,-,1 4 2 -3 -2 -4 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 3 3 -1 -3 -3 0,3 6 1 -2 0 -5 0,-,-,-,-,-,-,-,-,-,-
HT3,0 0 1 -2 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 0 0 -1,0 0 -1 -4 0 0 -2,120,0 1 0 -2 0 0 0,0 0 0 -2 -2 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 -3 0 -1,0 0 0 -4 -6 0 0,175,0 1 1 0 -2 0 0,0 0 0 -2 -2 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 -3 -3 -1,0 0 0 -4 -5 -3 -1,200,1 0 0 0 -2 -2 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 1 1 0 -2 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 2 2 0 -1 -1 -1,2 0 0 0 -3 -3 1,220,0 1 1 0 -2 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IB4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -2 -1 -5 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 -2 -6 1,0 0 0 -4 -4 -6 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UM5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FT3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
